2018 RANK,CITY,STATE,2018 ESTIMATE,2010 CENSUS,CHANGE,2016 LAND AREA SQ MI,2016 POPULATION DENSITY PER SQ MI
153,Eugene, Oregon,171245,156185,+9.64%,441,3777
154,Corona, California,168819,152374,+10.79%,395,4222
155,Cary, North Carolina,168160,135234,+24.35%,565,2873
156,Springfield, Missouri,168122,159498,+5.41%,823,2033
157,Fort Collins, Colorado,167830,143986,+16.56%,558,2943
158,Jackson, Mississippi,164422,173514,−5.24%,1110,1524
159,Alexandria, Virginia,160530,139966,+14.69%,150,10387
160,Hayward, California,159620,144186,+10.70%,455,3493
161,Lancaster, California,159053,156633,+1.55%,943,1698
162,Lakewood, Colorado,156798,142980,+9.66%,429,3599
163,Clarksville, Tennessee,156794,132929,+17.95%,983,1529
164,Palmdale, California,156667,152750,+2.56%,1060,1484
165,Salinas, California,156259,150441,+3.87%,236,6662
166,Springfield, Massachusetts,155032,153060,+1.29%,319,4830
167,Hollywood, Florida,154823,140768,+9.98%,273,5568
168,Pasadena, Texas,153219,149043,+2.80%,435,3525
169,Sunnyvale, California,153185,140081,+9.35%,220,6944
170,Macon, Georgia,153095,91351,+67.59%,2493,612
171,Kansas City, Kansas,152958,145786,+4.92%,1248,1216
172,Pomona, California,152361,149058,+2.22%,230,6630
173,Escondido, California,152213,143911,+5.77%,371,4087
174,Killeen, Texas,149103,127921,+16.56%,535,2680
175,Naperville, Illinois,148304,141853,+4.55%,387,3802
176,Joliet, Illinois,148099,147433,+0.45%,644,2302
177,Bellevue, Washington,147599,122363,+20.62%,335,4221
178,Rockford, Illinois,146526,152871,−4.15%,635,2325
179,Savannah, Georgia,145862,136286,+7.03%,1036,1417
180,Paterson, New Jersey,145627,146199,−0.39%,84,17500
181,Torrance, California,145182,145438,−0.18%,205,7180
182,Bridgeport, Connecticut,144900,144229,+0.47%,161,9064
183,McAllen, Texas,143433,129877,+10.44%,584,2435
184,Mesquite, Texas,142816,139824,+2.14%,472,3045
185,Syracuse, New York,142749,145170,−1.67%,250,5735
186,Midland, Texas,142344,111147,+28.07%,744,1809
187,Pasadena, California,141371,137122,+3.10%,230,6176
188,Murfreesboro, Tennessee,141344,108755,+29.97%,559,2360
189,Miramar, Florida,140823,122041,+15.39%,294,4709
190,Dayton, Ohio,140640,141527,−0.63%,557,2522
191,Fullerton, California,139640,135161,+3.31%,224,6282
192,Olathe, Kansas,139605,125872,+10.91%,609,2225
193,Orange, California,139484,136416,+2.25%,254,5532
194,Thornton, Colorado,139436,118772,+17.40%,357,3829
195,Roseville, California,139117,118788,+17.11%,430,3085
196,Denton, Texas,138541,113383,+22.19%,934,1433
197,Waco, Texas,138183,124805,+10.72%,890,1510
198,Surprise, Arizona,138161,117517,+17.57%,1079,1230
199,Carrollton, Texas,136879,119097,+14.93%,363,3674
200,West Valley City, Utah,136401,129480,+5.35%,355,3847
201,Charleston, South Carolina,136208,120083,+13.43%,1090,1233
202,Warren, Michigan,134587,134056,+0.40%,344,3928
203,Hampton, Virginia,134313,137436,−2.27%,515,2629
204,Gainesville, Florida,133857,124354,+7.64%,623,2112
205,Visalia, California,133800,124442,+7.52%,375,3495
206,Coral Springs, Florida,133507,121096,+10.25%,238,5465
207,Columbia, South Carolina,133451,129272,+3.23%,1335,1006
208,Cedar Rapids, Iowa,133174,126326,+5.42%,708,1852
209,Sterling Heights, Michigan,132964,129699,+2.52%,365,3628
210,New Haven, Connecticut,130418,129779,+0.49%,187,6948
211,Stamford, Connecticut,129775,122643,+5.82%,376,3434
212,Concord, California,129688,122067,+6.24%,305,4221
213,Kent, Washington,129618,92411,+40.26%,337,3784
214,Santa Clara, California,129488,116468,+11.18%,184,6845
215,Elizabeth, New Jersey,128885,124969,+3.13%,123,10459
216,Round Rock, Texas,128739,99887,+28.88%,356,3396
217,Thousand Oaks, California,127690,126683,+0.79%,552,2335
218,Lafayette, Louisiana,126143,120623,+4.58%,538,2372
219,Athens, Georgia,125964,115452,+9.11%,1164,1060
220,Topeka, Kansas,125904,127473,−1.23%,615,2062
221,Simi Valley, California,125851,124237,+1.30%,415,3044
222,Fargo,  North Dakota,124844,105549,+18.28%,493,2450
223,Norman, Oklahoma,123471,110925,+11.31%,1788,683
224,Columbia, Missouri,123180,108500,+13.53%,650,1856
225,Abilene, Texas,122999,117063,+5.07%,1067,1146
226,Wilmington, North Carolina,122607,106476,+15.15%,516,2278
227,Hartford, Connecticut,122587,124775,−1.75%,174,7083
228,Victorville, California,122312,115903,+5.53%,733,1668
229,Pearland, Texas,122149,91252,+33.86%,463,2453
230,Vallejo, California,121913,115942,+5.15%,307,3951
231,Ann Arbor, Michigan,121890,113934,+6.98%,281,4298
232,Berkeley, California,121643,112580,+8.05%,105,11547
233,Allentown, Pennsylvania,121433,118032,+2.88%,175,6882
234,Richardson, Texas,120981,99223,+21.93%,286,3963
235,Odessa, Texas,120568,99940,+20.64%,452,2608
236,Arvada, Colorado,120492,106433,+13.21%,386,3043
237,Cambridge, Massachusetts,118977,105162,+13.14%,64,17289
238,Sugar Land, Texas,118600,78817,+50.48%,340,3488
239,Beaumont, Texas,118428,118296,+0.11%,821,1441
240,Lansing, Michigan,118427,114297,+3.61%,391,2967
241,Evansville, Indiana,117963,117429,+0.45%,473,2526
242,Rochester, Minnesota,116961,106769,+9.55%,546,2088
243,Independence, Missouri,116925,116830,+0.08%,778,1504
244,Fairfield, California,116884,105321,+10.98%,409,2806
245,Provo, Utah,116702,112488,+3.75%,417,2803
246,Clearwater, Florida,116478,107685,+8.17%,259,4415
247,College Station, Texas,116218,93857,+23.82%,510,2199
248,West Jordan, Utah,116046,103712,+11.89%,323,3520
249,Carlsbad, California,115877,105328,+10.02%,377,3023
250,El Monte, California,115586,113475,+1.86%,96,12063
251,Murrieta, California,114985,103466,+11.13%,336,3324
252,Temecula, California,114742,100097,+14.63%,373,3031
253,Springfield, Illinois,114694,116250,−1.34%,601,1925
254,Palm Bay, Florida,114194,103190,+10.66%,657,1676
255,Costa Mesa, California,113615,109960,+3.32%,157,7186
256,Westminster, Colorado,113479,106114,+6.94%,317,3592
257,North Charleston, South Carolina,113237,97471,+16.18%,737,1483
258,Miami Gardens, Florida,113069,107167,+5.51%,182,6212
259,Manchester, New Hampshire,112525,109565,+2.70%,331,3339
260,High Point, North Carolina,112316,104371,+7.61%,552,2015
261,Downey, California,112269,111772,+0.44%,124,9134
262,Clovis, California,112022,95631,+17.14%,242,4404
263,Pompano Beach, Florida,111954,99845,+12.13%,240,4558
264,Pueblo, Colorado,111750,106595,+4.84%,536,2058
265,Elgin, Illinois,111683,108188,+3.23%,374,2998
266,Lowell, Massachusetts,111670,106519,+4.84%,136,8129
267,Antioch, California,111535,102372,+8.95%,294,3772
268,West Palm Beach, Florida,111398,99919,+11.49%,551,1963
269,Peoria, Illinois,111388,115007,−3.15%,482,2371
270,Everett, Washington,111262,103019,+8.00%,333,3275
271,Ventura, California,111128,106433,+4.41%,218,5027
272,Centennial, Colorado,110831,100377,+10.41%,295,3727
273,Lakeland, Florida,110516,97422,+13.44%,659,1615
274,Gresham, Oregon,110158,105594,+4.32%,233,4786
275,Richmond, California,110146,103701,+6.21%,301,3648
276,Billings, Montana,109550,104170,+5.16%,437,2525
277,Inglewood, California,109419,109673,−0.23%,91,12160
278,Broken Arrow, Oklahoma,109171,98850,+10.44%,617,1741
279,Sandy Springs, Georgia,108797,93853,+15.92%,377,2804
280,Jurupa Valley, California,108393,0,NA,429,2414
281,Hillsboro, Oregon,108389,91611,+18.31%,250,4207
282,Waterbury, Connecticut,108093,110366,−2.06%,285,3799
283,Santa Maria, California,107408,99553,+7.89%,228,4662
284,Boulder, Colorado,107353,97385,+10.24%,248,4358
285,Greeley, Colorado,107348,92889,+15.57%,478,2176
286,Daly City, California,107008,101123,+5.82%,76,14009
287,Meridian, Idaho,106804,75092,+42.23%,298,3584
288,Lewisville, Texas,106586,95290,+11.85%,367,2852
289,Davie, Florida,106558,91992,+15.83%,349,2919
290,West Covina, California,106311,106098,+0.20%,160,6740
291,League City, Texas,106244,83560,+27.15%,512,1992
292,Tyler, Texas,105729,96900,+9.11%,566,1852
293,Norwalk, California,105120,105549,−0.41%,97,10946
294,San Mateo, California,105025,97207,+8.04%,121,8592
295,Green Bay, Wisconsin,104879,104057,+0.79%,454,2316
296,Wichita Falls, Texas,104576,104553,+0.02%,722,1450
297,Sparks, Nevada,104246,90264,+15.49%,359,2810
298,Lakewood, New Jersey,104157,92843,+12.19%,247,4079
299,Burbank, California,103695,103340,+0.34%,174,6003
300,Rialto, California,103440,99171,+4.30%,223,4633
301,Allen, Texas,103383,84246,+22.72%,271,3715
